production_id,product_id,batch_id,printer_id,start_datetime,end_datetime,qty_produced_units,qty_rejected_units,rejection_rate_pct,operator_id
PROD00001,PR001,BT0156,P002,2022-02-05 10:23:44,2022-02-05 15:51:56,21,0,1,OP10
PROD00002,PR002,BT0075,P001,2022-02-01 07:14:35,2022-02-01 13:41:35,34,0,1,OP11
PROD00003,PR002,BT0017,P001,2022-02-16 20:06:24,2022-02-17 03:13:36,37,0,2,OP07
PROD00004,PR002,BT0086,P002,2022-02-25 06:07:07,2022-02-25 11:47:55,30,1,6,OP09
PROD00005,PR002,BT0154,P001,2022-02-14 02:39:20,2022-02-14 08:59:44,33,1,4,OP03
PROD00006,PR001,BT0136,P001,2022-02-24 07:09:05,2022-02-24 15:06:05,31,0,3,OP12
PROD00007,PR001,BT0042,P002,2022-02-08 18:54:31,2022-02-09 01:24:31,26,1,5,OP04
PROD00008,PR002,BT0005,P002,2022-02-15 02:54:40,2022-02-15 08:25:16,29,0,3,OP05
PROD00009,PR002,BT0078,P002,2022-02-19 15:38:14,2022-02-19 19:51:26,22,0,1,OP05
PROD00010,PR001,BT0013,P001,2022-02-01 12:52:20,2022-02-01 18:37:20,23,0,3,OP11
PROD00011,PR001,BT0087,P002,2022-02-04 11:31:12,2022-02-04 14:38:24,12,0,6,OP09
PROD00012,PR002,BT0077,P002,2022-02-18 05:24:59,2022-02-18 08:28:35,16,0,3,OP11
PROD00013,PR002,BT0021,P002,2022-02-15 19:08:28,2022-02-15 22:56:28,20,0,2,OP11
PROD00014,PR002,BT0037,P002,2022-02-06 11:49:52,2022-02-06 16:31:16,25,1,6,OP09
PROD00015,PR001,BT0104,P002,2022-02-20 14:59:30,2022-02-20 20:38:30,22,1,5,OP08
PROD00016,PR002,BT0173,P001,2022-02-26 00:18:37,2022-02-26 02:56:25,14,0,6,OP12
PROD00017,PR001,BT0068,P001,2022-02-28 05:28:06,2022-02-28 08:13:06,11,0,8,OP01
PROD00018,PR001,BT0073,P002,2022-02-18 13:57:14,2022-02-18 19:28:26,22,1,5,OP07
PROD00019,PR002,BT0035,P002,2022-02-21 20:52:28,2022-02-22 00:36:52,19,0,4,OP10
PROD00020,PR002,BT0063,P002,2022-02-19 20:46:07,2022-02-20 01:14:19,23,1,6,OP03
PROD00021,PR001,BT0112,P001,2022-02-02 13:25:10,2022-02-02 17:07:10,14,0,5,OP08
PROD00022,PR001,BT0070,P001,2022-02-07 03:40:00,2022-02-07 08:39:24,19,0,5,OP10
PROD00023,PR001,BT0179,P002,2022-02-04 19:13:08,2022-02-04 23:13:08,16,0,2,OP03
PROD00024,PR001,BT0146,P001,2022-02-27 02:28:01,2022-02-27 07:17:13,19,0,2,OP06
PROD00025,PR002,BT0038,P002,2022-02-28 08:17:42,2022-02-28 10:31:30,11,0,8,OP03
PROD00026,PR002,BT0059,P002,2022-02-15 11:53:41,2022-02-15 19:43:29,41,2,5,OP05
PROD00027,PR002,BT0100,P001,2022-02-25 22:34:34,2022-02-26 04:35:10,32,2,7,OP11
PROD00028,PR001,BT0176,P002,2022-02-08 23:34:53,2022-02-09 07:27:05,31,0,1,OP05
PROD00029,PR001,BT0087,P002,2022-02-03 01:53:47,2022-02-03 06:48:59,19,1,7,OP09
PROD00030,PR001,BT0152,P001,2022-02-20 20:03:51,2022-02-20 22:45:51,10,0,6,OP12
PROD00031,PR002,BT0079,P001,2022-02-05 17:59:48,2022-02-05 20:19:36,12,0,3,OP10
PROD00032,PR002,BT0170,P001,2022-02-28 16:47:14,2022-03-01 00:35:14,41,3,8,OP02
PROD00033,PR002,BT0126,P001,2022-02-24 04:31:26,2022-02-24 09:49:26,28,1,4,OP12
PROD00034,PR001,BT0181,P002,2022-02-18 08:06:03,2022-02-18 12:22:51,17,1,6,OP10
PROD00035,PR001,BT0025,P001,2022-02-08 15:01:53,2022-02-08 17:30:05,9,0,3,OP02
PROD00036,PR001,BT0049,P001,2022-02-27 09:15:39,2022-02-27 16:00:03,26,1,5,OP04
PROD00037,PR002,BT0016,P002,2022-02-25 00:58:43,2022-02-25 08:51:31,42,2,7,OP10
PROD00038,PR002,BT0062,P001,2022-02-21 02:25:49,2022-02-21 07:36:01,27,1,7,OP07
PROD00039,PR002,BT0021,P002,2022-02-18 21:43:52,2022-02-19 00:38:28,15,0,2,OP02
PROD00040,PR002,BT0175,P002,2022-02-20 02:40:40,2022-02-20 05:28:04,14,0,4,OP05
PROD00041,PR001,BT0153,P002,2022-02-26 22:33:39,2022-02-27 02:40:51,16,0,1,OP04
PROD00042,PR001,BT0154,P002,2022-02-04 03:58:42,2022-02-04 09:56:54,23,0,3,OP08
PROD00043,PR002,BT0141,P002,2022-02-24 20:38:47,2022-02-25 01:46:35,27,1,5,OP12
PROD00044,PR002,BT0088,P001,2022-02-11 21:12:49,2022-02-11 23:14:37,10,0,7,OP01
PROD00045,PR002,BT0017,P001,2022-02-27 03:04:19,2022-02-27 05:33:07,13,0,2,OP07
PROD00046,PR002,BT0173,P002,2022-02-16 12:10:15,2022-02-16 15:24:03,17,0,1,OP12
PROD00047,PR001,BT0087,P002,2022-02-18 16:49:42,2022-02-18 20:21:30,14,0,7,OP03
PROD00048,PR001,BT0135,P001,2022-02-25 15:32:39,2022-02-25 22:03:15,26,0,2,OP12
PROD00049,PR001,BT0168,P001,2022-02-26 18:48:45,2022-02-26 23:09:45,17,1,6,OP09
PROD00050,PR002,BT0099,P002,2022-02-13 00:56:01,2022-02-13 08:24:49,39,0,2,OP01
PROD00051,PR001,BT0098,P002,2022-02-24 13:49:39,2022-02-24 17:21:27,14,0,4,OP03
PROD00052,PR001,BT0017,P001,2022-02-18 06:50:44,2022-02-18 09:03:56,8,0,5,OP01
PROD00053,PR002,BT0068,P002,2022-02-03 00:34:59,2022-02-03 04:42:11,21,1,6,OP12
PROD00054,PR002,BT0175,P001,2022-02-22 14:41:32,2022-02-22 21:54:44,38,1,5,OP11
PROD00055,PR002,BT0040,P001,2022-02-14 13:41:41,2022-02-14 17:09:53,18,0,3,OP06
PROD00056,PR002,BT0067,P002,2022-02-20 14:47:35,2022-02-20 21:57:11,38,0,2,OP11
PROD00057,PR002,BT0116,P002,2022-03-24 22:46:51,2022-03-25 05:28:15,35,2,6,OP07
PROD00058,PR001,BT9930,P002,2022-03-14 13:27:02,2022-03-14 18:08:26,18,0,2,OP11
PROD00059,PR002,BT0115,P001,2022-03-22 22:10:35,2022-03-23 05:33:59,39,2,6,OP03
PROD00060,PR002,BT0137,P001,2022-03-16 06:53:10,2022-03-16 14:44:46,41,2,6,OP02
PROD00061,PR001,BT0012,P001,2022-03-18 07:10:49,2022-03-18 13:04:13,23,0,4,OP05
PROD00062,PR001,BT0001,P001,2022-03-14 21:53:49,2022-03-15 04:56:49,28,0,2,OP02
PROD00063,PR002,BT0031,P001,2022-03-08 00:40:19,2022-03-08 04:50:31,22,0,4,OP05
PROD00064,PR002,BT0065,P001,2022-03-21 21:30:12,2022-03-22 04:38:00,38,1,4,OP09
PROD00065,PR001,BT0036,P002,2022-03-06 06:18:43,2022-03-06 13:24:43,28,1,4,OP01
PROD00066,PR002,BT0054,P001,2022-03-28 06:30:22,2022-03-28 13:34:34,37,1,5,OP08
PROD00067,PR001,BT0181,P002,2022-03-25 02:32:32,2022-03-25 07:23:32,19,1,6,OP01
PROD00068,PR002,BT0121,P001,2022-03-13 09:29:18,2022-03-13 15:49:06,33,0,2,OP02
PROD00069,PR002,BT0101,P001,2022-03-27 08:35:10,2022-03-27 11:49:34,17,0,3,OP09
PROD00070,PR002,BT0044,P001,2022-03-09 16:48:48,2022-03-09 22:00:12,27,0,1,OP06
PROD00071,PR001,BT0107,P002,2022-03-19 06:26:51,2022-03-19 12:35:15,24,0,1,OP04
PROD00072,PR002,BT0056,P001,2022-03-27 10:37:35,2022-03-27 15:48:59,27,0,1,OP05
PROD00073,PR002,BT0012,P001,2022-03-03 06:54:45,2022-03-03 10:43:57,20,1,6,OP09
PROD00074,PR001,BT0032,P002,2022-03-07 10:51:14,2022-03-07 14:18:14,13,0,3,OP01
PROD00075,PR001,BT0148,P001,2022-03-14 19:32:52,2022-03-14 22:54:28,13,0,5,OP01
PROD00076,PR002,BT0147,P002,2022-03-25 21:12:11,2022-03-26 02:15:47,26,1,4,OP01
PROD00077,PR001,BT0007,P001,2022-03-18 22:42:06,2022-03-19 03:40:18,19,0,4,OP02
PROD00078,PR001,BT0058,P001,2022-03-22 23:09:46,2022-03-23 04:37:58,21,1,7,OP06
PROD00079,PR001,BT0167,P001,2022-03-03 05:30:12,2022-03-03 07:54:48,9,0,3,OP03
PROD00080,PR002,BT0106,P001,2022-03-07 18:00:10,2022-03-07 20:51:46,15,0,4,OP01
PROD00081,PR002,BT0030,P001,2022-03-14 09:51:49,2022-03-14 17:14:01,39,1,3,OP03
PROD00082,PR001,BT0142,P001,2022-03-10 20:46:30,2022-03-11 01:16:30,18,0,2,OP03
PROD00083,PR002,BT0102,P001,2022-03-27 04:28:28,2022-03-27 12:16:28,41,0,2,OP10
PROD00084,PR002,BT0172,P001,2022-03-09 06:18:41,2022-03-09 09:26:29,16,0,6,OP12
PROD00085,PR002,BT0099,P001,2022-03-08 22:48:31,2022-03-09 03:08:19,23,1,8,OP04
PROD00086,PR001,BT0101,P002,2022-03-18 23:13:33,2022-03-19 06:34:33,29,1,4,OP05
PROD00087,PR002,BT0139,P001,2022-03-12 13:07:16,2022-03-12 17:44:28,24,1,5,OP11
PROD00088,PR001,BT0015,P001,2022-03-19 19:54:49,2022-03-20 01:53:01,23,1,6,OP12
PROD00089,PR002,BT0119,P001,2022-03-17 00:26:49,2022-03-17 06:11:49,30,1,5,OP07
PROD00090,PR002,BT0099,P001,2022-03-20 06:33:02,2022-03-20 10:58:50,23,0,4,OP07
PROD00091,PR002,BT0176,P002,2022-03-20 08:36:12,2022-03-20 15:09:48,34,1,4,OP04
PROD00092,PR002,BT0015,P001,2022-03-10 01:05:41,2022-03-10 08:12:17,37,2,7,OP07
PROD00093,PR001,BT0067,P002,2022-03-20 06:11:18,2022-03-20 08:17:18,8,0,8,OP03
PROD00094,PR002,BT0095,P001,2022-03-24 23:17:04,2022-03-25 05:02:04,30,1,6,OP10
PROD00095,PR002,BT0178,P002,2022-03-22 20:34:53,2022-03-23 04:28:53,42,1,3,OP04
PROD00096,PR002,BT0169,P002,2022-03-15 16:38:23,2022-03-15 20:28:11,20,1,7,OP11
PROD00097,PR002,BT0173,P002,2022-03-23 11:56:36,2022-03-23 18:24:12,34,1,4,OP09
PROD00098,PR001,BT0031,P002,2022-03-24 10:27:44,2022-03-24 15:22:56,19,1,6,OP09
PROD00099,PR002,BT0002,P002,2022-03-15 11:12:56,2022-03-15 18:44:08,40,1,4,OP11
PROD00100,PR002,BT0088,P002,2022-03-25 17:50:03,2022-03-26 00:53:39,37,2,6,OP06
PROD00101,PR001,BT0009,P001,2022-03-26 18:07:18,2022-03-27 00:37:54,26,0,2,OP04
PROD00102,PR002,BT0008,P001,2022-03-19 05:37:09,2022-03-19 08:44:57,16,0,6,OP07
PROD00103,PR001,BT0120,P002,2022-03-16 19:09:58,2022-03-16 22:02:46,11,0,4,OP12
