order_id,customer_id,product_id,quantity,unit_price_brl,total_price_brl,sale_date,channel,status,payment_method
ORD000001,C0733,PR002,1,24.65,24.65,2022-01-24,pdv_parceiro,pendente,cartão_crédito
ORD000002,C0612,PR002,3,24.9,74.7,21/01/2022,marketplace,concluído,cartão_débito
ORD000003,C0218,PR001,1,34.55,34.55,2022-01-23,ecommerce,concluído,cartão_crédito
ORD000004,C0770,PR002,1,25.9,25.9,2022-01-21,B2B_direct,concluído,cartão_crédito
ORD000005,C0617,PR002,4,24.15,96.61,2022-01-28,ecommerce,concluído,pix
ORD000006,C0151,PR002,4,25.9,103.58,2022-01-27,ecommerce,concluído,pix
ORD000007,C0048,PR001,4,32.24,128.97,21/01/2022,ecommerce,pendente,cartão_débito
ORD000008,C0334,PR002,6,25.4,152.39,2022-01-17,marketplace,concluído,pix
ORD000009,C0283,PR001,1,33.89,33.89,2022-01-25,ecommerce,concluído,cartão_débito
ORD000010,C0415,PR002,1,23.9,23.9,2022-01-25,pdv_parceiro,concluído,boleto
ORD000011,C0142,PR001,6,34.22,205.3,26/01/2022,ecommerce,cancelado,pix
ORD000012,C0839,PR001,3,31.91,95.74,2022-01-24,B2B_direct,concluído,pix
ORD000013,C0318,PR002,2,23.9,47.81,2022-01-15,ecommerce,concluído,cartão_débito
ORD000014,C0835,PR001,2,32.9,65.8,2022-01-22,pdv_parceiro,concluído,pix
ORD000015,C0342,PR001,2,33.89,67.77,2022-01-17,ecommerce,cancelado,pix
ORD000016,C0295,PR001,1,32.9,32.9,20/01/2022,ecommerce,concluído,boleto
ORD000017,C0401,PR001,2,34.55,69.09,2022-01-24,ecommerce,concluído,boleto
ORD000018,C0782,PR001,4,32.24,128.97,2022-01-19,ecommerce,concluído,pix
ORD000019,C0520,PR001,6,33.56,201.35,23/01/2022,B2B_direct,concluído,boleto
ORD000020,C0203,PR001,1,34.55,34.55,16/01/2022,ecommerce,pendente,cartão_crédito
